colony_id,homog_vol_ml,note,date_airbrushed
ACR-425,15,,3032022
ACR-457,12.5,,3032022
ACR-432,15,,3032022
ACR-430,12.5,,3032022
ACR-465,15,,3032022
ACR-422,22.5,,3032022
ACR-418,13,,3032022
ACR-464,16,,3032022
ACR-460,12.5,,3032022
ACR-424,10,,3032022
ACR-429,15,2_frags,3032022
ACR-426,10,2_frags,3032022
ACR-421,21,5_frags,3032022
ACR-438,20,,3032022
ACR-415,10,,3032022
ACR-459,10,,3032022
ACR-431,10,,3032022
ACR-439,16,2_frags,3032022
ACR-436,20,2_frags,3032022
ACR-428,11,,3032022
ACR-423,14,,3032022
ACR-451,20,,3032022
ACR-437,12.5,,3032022
ACR-420,27.5,2_frags,3032022
ACR-427,7,,3032022
ACR-449,8,2_frags,3032022
ACR-461,14,,3032022
ACR-433,10,,3032022
ACR-435.419,12.5,,3032022
ACR-414,7.5,,3032022
ACR-416,7.5,,3032022
ACR-417,7.5,,3032022
ACR-456,10,,3032022
ACR-458,12.5,,3032022
ACR-448,14,,3032022
ACR-434,10,,3032022
ACR-462,11,,3032022