colony_id,timepoint,Squares.Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Dilution,Counter,Date.Counted,Average Per Square,Std.Dev. Per square,CV
ACR-460,JAN,1,140,140,140,108,143,146,,,,,,136.166667,14.0059511,10.2858882
ACR-464,JAN,1,103,135,129,130,141,140,,,,,,129.666667,13.9666269,10.7711776
ACR-418,JAN,2,188,183,190,180,201,196,,,,,,94.8333333,3.93276832,4.14703162
ACR-422,JAN,1,113,104,110,109,112,117,,,,,,110.833333,4.35507367,3.92938978
ACR-465,JAN,1,116,146,117,120,121,118,,,,,,123,11.4192819,9.28396906
ACR-430,JAN,1,177,138,118,145,136,150,144,135,,,,142.875,16.7880697,11.7501801
ACR-432,JAN,2,187,168,181,121,184,178,173,171,,,,85.1875,10.494684,12.3195117
ACR-457,JAN,2,184,189,192,190,179,163,,,,,,91.4166667,5.3983022,5.90516194
ACR-425,JAN,1,109,84,118,101,102,101,,,,,,102.5,11.2205169,10.9468458
ACR-439,JAN,1,110,104,140,131,122,130,121,118,,,,122,11.6741473,9.56897317
ACR-459,JAN,1,138,142,120,126,133,134,,,,,,132.166667,8.01040989,6.06083977
ACR-431,JAN,2,202,199,201,191,206,189,,,,,,99,3.31662479,3.35012605
ACR-415,JAN,2,161,187,153,161,175,168,,,,,,83.75,6.04772685,7.22116638