well,colony_id
A1,BK
A2,BK
A3,POC-366
A4,POR-385
A5,NA
A6,NA
A7,NA
A8,NA
A9,NA
A10,NA
A11,NA
A12,NA
B1,BK
B2,BK
B3,POC-366
B4,POR-385
B5,NA
B6,NA
B7,NA
B8,NA
B9,NA
B10,NA
B11,NA
B12,NA
C1,NA
C2,NA
C3,NA
C4,NA
C5,NA
C6,NA
C7,NA
C8,NA
C9,NA
C10,NA
C11,NA
C12,NA
D1,NA
D2,NA
D3,NA
D4,NA
D5,NA
D6,NA
D7,NA
D8,NA
D9,NA
D10,NA
D11,NA
D12,NA
E1,NA
E2,NA
E3,NA
E4,NA
E5,NA
E6,NA
E7,NA
E8,NA
E9,NA
E10,NA
E11,NA
E12,NA
F1,NA
F2,NA
F3,NA
F4,NA
F5,NA
F6,NA
F7,NA
F8,NA
F9,NA
F10,NA
F11,NA
F12,NA
G1,NA
G2,NA
G3,NA
G4,NA
G5,NA
G6,NA
G7,NA
G8,NA
G9,NA
G10,NA
G11,NA
G12,NA
H1,NA
H2,NA
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA