"Bleaching.Score","Coral.ID","Species","Timepoint","Site","Group","SpGroup"
-14.5760079810412,"40","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-16.4482390888143,"41","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-9.27499045235471,"42","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.7780460545127,"43","Pocillopora",1,1,"Pocillopora 1 1","1 1"
56.1553515963305,"44","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.6166520252264,"45","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-14.094962827698,"47","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-14.216499446771,"48","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.3342027238106,"50","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-8.80005998994009,"52","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-15.1492569739008,"53","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-14.1794731609292,"55","Pocillopora",1,1,"Pocillopora 1 1","1 1"
328.070114010403,"56","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-13.3648686642489,"57","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-12.2007822429089,"68","Pocillopora",1,1,"Pocillopora 1 1","1 1"
-15.3884138655226,"69","Porites",1,1,"Porites 1 1","1 1"
-15.7145023393573,"70","Porites",1,1,"Porites 1 1","1 1"
-12.4652774676114,"71","Porites",1,1,"Porites 1 1","1 1"
-13.2129258799807,"72","Porites",1,1,"Porites 1 1","1 1"
-14.2763238318861,"73","Porites",1,1,"Porites 1 1","1 1"
-0.951029795959781,"74","Porites",1,1,"Porites 1 1","1 1"
-17.2036662385287,"75","Porites",1,1,"Porites 1 1","1 1"
-18.1488496661031,"76","Porites",1,1,"Porites 1 1","1 1"
-10.7146150389583,"77","Porites",1,1,"Porites 1 1","1 1"
-14.9424438460525,"78","Porites",1,1,"Porites 1 1","1 1"
-14.4320957642654,"79","Porites",1,1,"Porites 1 1","1 1"
-13.0968405001982,"80","Porites",1,1,"Porites 1 1","1 1"
-16.6897752722916,"81","Porites",1,1,"Porites 1 1","1 1"
42.7466175006451,"82","Porites",1,1,"Porites 1 1","1 1"
-11.5680268091399,"83","Porites",1,1,"Porites 1 1","1 1"
-14.295246597494,"139","Acropora",1,1,"Acropora 1 1","1 1"
-16.253585530247,"140","Acropora",1,1,"Acropora 1 1","1 1"
-17.7381012225961,"145","Acropora",1,1,"Acropora 1 1","1 1"
-17.8866123977472,"150","Acropora",1,1,"Acropora 1 1","1 1"
-13.9215381896656,"165","Acropora",1,1,"Acropora 1 1","1 1"
397.687817538906,"173","Acropora",1,1,"Acropora 1 1","1 1"
-15.1622783422054,"175","Acropora",1,1,"Acropora 1 1","1 1"
-15.0399968100493,"176","Acropora",1,1,"Acropora 1 1","1 1"
-18.6719850376564,"180","Acropora",1,1,"Acropora 1 1","1 1"
-12.073800823775,"185","Acropora",1,1,"Acropora 1 1","1 1"
33.2988683931125,"186","Acropora",1,1,"Acropora 1 1","1 1"
3.692598149698,"187","Acropora",1,1,"Acropora 1 1","1 1"
-16.7914195851476,"187_2","Acropora",1,1,"Acropora 1 1","1 1"
-11.9725031642732,"190","Acropora",1,1,"Acropora 1 1","1 1"
0.923676246641388,"193","Acropora",1,1,"Acropora 1 1","1 1"
-17.7748486352308,"51","Acropora",1,1,"Acropora 1 1","1 1"
-17.1880173280017,"266","Porites",1,2,"Porites 1 2","1 2"
-19.9304809795244,"209","Porites",1,2,"Porites 1 2","1 2"
-15.580715685324,"235","Porites",1,2,"Porites 1 2","1 2"
-19.5151549593617,"239","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.143690565447,"238","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-16.915544732499,"255","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.1614968338207,"200","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.9808185047435,"254","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.3744700284277,"201","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.5386272341914,"207","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.3518531122408,"219","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.7333969155806,"222","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.4751824108533,"259","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-18.5018442442854,"217","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-15.0405727539659,"205","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-19.7369582053329,"248","Pocillopora",1,2,"Pocillopora 1 2","1 2"
-17.8043133053003,"253","Porites",1,2,"Porites 1 2","1 2"
-18.1021856156025,"216","Porites",1,2,"Porites 1 2","1 2"
-11.7182462425222,"240","Porites",1,2,"Porites 1 2","1 2"
-16.659844517315,"221","Porites",1,2,"Porites 1 2","1 2"
-19.3168918709187,"242","Porites",1,2,"Porites 1 2","1 2"
-14.5463743824205,"236","Porites",1,2,"Porites 1 2","1 2"
-15.6430937936228,"245","Porites",1,2,"Porites 1 2","1 2"
-18.4047761974,"260","Porites",1,2,"Porites 1 2","1 2"
-16.784107917211,"262","Porites",1,2,"Porites 1 2","1 2"
-18.2643467466782,"251","Porites",1,2,"Porites 1 2","1 2"
-17.2760949387707,"224","Porites",1,2,"Porites 1 2","1 2"
-16.052595899779,"214","Porites",1,2,"Porites 1 2","1 2"
-19.4944100342898,"258","Acropora",1,2,"Acropora 1 2","1 2"
-19.1144808850849,"244","Acropora",1,2,"Acropora 1 2","1 2"
-19.585320932385,"237","Acropora",1,2,"Acropora 1 2","1 2"
-19.3297612511817,"256","Acropora",1,2,"Acropora 1 2","1 2"
-16.7040273094929,"246","Acropora",1,2,"Acropora 1 2","1 2"
-9.43374092229557,"225","Acropora",1,2,"Acropora 1 2","1 2"
-12.5932218407676,"231","Acropora",1,2,"Acropora 1 2","1 2"
-7.04916463630384,"243","Acropora",1,2,"Acropora 1 2","1 2"
-19.0856603291192,"229","Acropora",1,2,"Acropora 1 2","1 2"
-19.2414607592954,"234","Acropora",1,2,"Acropora 1 2","1 2"
-5.95548306471244,"228","Acropora",1,2,"Acropora 1 2","1 2"
-19.2173333895597,"267","Acropora",1,2,"Acropora 1 2","1 2"
-16.2159561095516,"247","Acropora",1,2,"Acropora 1 2","1 2"
-18.4919001266312,"265","Acropora",1,2,"Acropora 1 2","1 2"
-19.1878988249337,"371","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-18.4490871939201,"377","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-19.0758952001628,"395","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-19.5831203865331,"394","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-18.5909212694007,"372","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-17.8255384325162,"358","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-15.1264071743786,"386","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-17.5770361187365,"346","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-15.7501378391948,"378","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-15.042994390102,"366","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-19.1211676657058,"391","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-18.8468390910579,"373","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-18.1847211055568,"369","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-15.1574952047542,"375","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-17.9705333644073,"359","Pocillopora",1,3,"Pocillopora 1 3","1 3"
-17.6265905316899,"389","Acropora",1,3,"Acropora 1 3","1 3"
-17.3395225119995,"390","Acropora",1,3,"Acropora 1 3","1 3"
-19.6109816745902,"379","Acropora",1,3,"Acropora 1 3","1 3"
-16.1552389421131,"350","Acropora",1,3,"Acropora 1 3","1 3"
-18.2007474128746,"393","Acropora",1,3,"Acropora 1 3","1 3"
-16.3606448330595,"364","Acropora",1,3,"Acropora 1 3","1 3"
-19.1645969387057,"374","Acropora",1,3,"Acropora 1 3","1 3"
-19.5198229930105,"343","Acropora",1,3,"Acropora 1 3","1 3"
-18.3434398499939,"363","Acropora",1,3,"Acropora 1 3","1 3"
-17.0423573092769,"351","Acropora",1,3,"Acropora 1 3","1 3"
-18.6360617539661,"345","Acropora",1,3,"Acropora 1 3","1 3"
-19.2514023768785,"396","Acropora",1,3,"Acropora 1 3","1 3"
-18.990023960682,"392","Acropora",1,3,"Acropora 1 3","1 3"
-19.3957016466202,"368","Acropora",1,3,"Acropora 1 3","1 3"
-15.018811790937,"357","Porites",1,3,"Porites 1 3","1 3"
-17.1584679992899,"381","Porites",1,3,"Porites 1 3","1 3"
-16.4422111625688,"338","Porites",1,3,"Porites 1 3","1 3"
-14.3564258279868,"383","Porites",1,3,"Porites 1 3","1 3"
-15.1942322158889,"354","Porites",1,3,"Porites 1 3","1 3"
-19.6787580162538,"367","Porites",1,3,"Porites 1 3","1 3"
-12.6785130701312,"384","Porites",1,3,"Porites 1 3","1 3"
-18.1452107040702,"365","Porites",1,3,"Porites 1 3","1 3"
-10.1083921564423,"353","Porites",1,3,"Porites 1 3","1 3"
-18.4349344923452,"340","Porites",1,3,"Porites 1 3","1 3"
-17.4440435160836,"349","Porites",1,3,"Porites 1 3","1 3"
-18.9956412101347,"362","Porites",1,3,"Porites 1 3","1 3"
-18.8945900011041,"355","Porites",1,3,"Porites 1 3","1 3"
-19.0706053220326,"385","Porites",1,3,"Porites 1 3","1 3"
-14.5043643084036,"344","Porites",1,3,"Porites 1 3","1 3"
1.77112686649592,"266","Porites",2,2,"Porites 2 2","2 2"
-3.13782014616706,"209","Porites",2,2,"Porites 2 2","2 2"
-7.24638680245082,"235","Porites",2,2,"Porites 2 2","2 2"
-6.26840963629431,"239","Pocillopora",2,2,"Pocillopora 2 2","2 2"
-12.5089165678385,"238","Pocillopora",2,2,"Pocillopora 2 2","2 2"
21.7242829996363,"255","Pocillopora",2,2,"Pocillopora 2 2","2 2"
18.1021510203073,"200","Pocillopora",2,2,"Pocillopora 2 2","2 2"
-8.35766958713673,"254","Pocillopora",2,2,"Pocillopora 2 2","2 2"
-6.83395692826703,"201","Pocillopora",2,2,"Pocillopora 2 2","2 2"
24.7919632365733,"207","Pocillopora",2,2,"Pocillopora 2 2","2 2"
5.59769391796547,"215","Pocillopora",2,2,"Pocillopora 2 2","2 2"
23.8267672559792,"219","Pocillopora",2,2,"Pocillopora 2 2","2 2"
46.3436097177949,"222","Pocillopora",2,2,"Pocillopora 2 2","2 2"
183.329864802645,"257","Pocillopora",2,2,"Pocillopora 2 2","2 2"
-16.9513005747252,"259","Pocillopora",2,2,"Pocillopora 2 2","2 2"
36.4752932930188,"217","Pocillopora",2,2,"Pocillopora 2 2","2 2"
0.990419014436816,"205","Pocillopora",2,2,"Pocillopora 2 2","2 2"
36.0848232676576,"248","Pocillopora",2,2,"Pocillopora 2 2","2 2"
-9.90259083884355,"253","Porites",2,2,"Porites 2 2","2 2"
-9.48906460076623,"216","Porites",2,2,"Porites 2 2","2 2"
-16.4590628780748,"240","Porites",2,2,"Porites 2 2","2 2"
-19.4092886506668,"221","Porites",2,2,"Porites 2 2","2 2"
-14.8877064026248,"242","Porites",2,2,"Porites 2 2","2 2"
-19.6523374659039,"236","Porites",2,2,"Porites 2 2","2 2"
11.6674673002805,"245","Porites",2,2,"Porites 2 2","2 2"
45.4961790571339,"260","Porites",2,2,"Porites 2 2","2 2"
-19.3169330659862,"262","Porites",2,2,"Porites 2 2","2 2"
54.4745933286096,"251","Porites",2,2,"Porites 2 2","2 2"
-1.64076282797344,"224","Porites",2,2,"Porites 2 2","2 2"
-5.09575057483636,"214","Porites",2,2,"Porites 2 2","2 2"
-15.3120940213337,"258","Acropora",2,2,"Acropora 2 2","2 2"
-10.7861362400557,"244","Acropora",2,2,"Acropora 2 2","2 2"
-16.0560499889612,"237","Acropora",2,2,"Acropora 2 2","2 2"
-4.17890850540769,"225","Acropora",2,2,"Acropora 2 2","2 2"
-17.7318621169419,"229","Acropora",2,2,"Acropora 2 2","2 2"
-6.61108687418402,"265","Acropora",2,2,"Acropora 2 2","2 2"
-2.6420045222752,"371","Pocillopora",2,3,"Pocillopora 2 3","2 3"
-8.46885179040141,"377","Pocillopora",2,3,"Pocillopora 2 3","2 3"
95.1027964854779,"395","Pocillopora",2,3,"Pocillopora 2 3","2 3"
-10.740874053024,"394","Pocillopora",2,3,"Pocillopora 2 3","2 3"
32.5720060353547,"372","Pocillopora",2,3,"Pocillopora 2 3","2 3"
-0.227687042320808,"386","Pocillopora",2,3,"Pocillopora 2 3","2 3"
-19.7302982409857,"346","Pocillopora",2,3,"Pocillopora 2 3","2 3"
-9.83413392344919,"378","Pocillopora",2,3,"Pocillopora 2 3","2 3"
28.5446054999547,"366","Pocillopora",2,3,"Pocillopora 2 3","2 3"
58.3572628683329,"391","Pocillopora",2,3,"Pocillopora 2 3","2 3"
288.455108036018,"373","Pocillopora",2,3,"Pocillopora 2 3","2 3"
40.2466016721979,"369","Pocillopora",2,3,"Pocillopora 2 3","2 3"
-17.2359524615873,"375","Pocillopora",2,3,"Pocillopora 2 3","2 3"
-12.6837671354203,"359","Pocillopora",2,3,"Pocillopora 2 3","2 3"
48.7663690377237,"350","Acropora",2,3,"Acropora 2 3","2 3"
9.96790258943937,"393","Acropora",2,3,"Acropora 2 3","2 3"
-4.42925169668333,"364","Acropora",2,3,"Acropora 2 3","2 3"
4.83738238708744,"347","Acropora",2,3,"Acropora 2 3","2 3"
-12.7844586717935,"343","Acropora",2,3,"Acropora 2 3","2 3"
-3.65946242486841,"351","Acropora",2,3,"Acropora 2 3","2 3"
-1.32284639272594,"396","Acropora",2,3,"Acropora 2 3","2 3"
-17.1192791314565,"368","Acropora",2,3,"Acropora 2 3","2 3"
-19.1618735914509,"357","Porites",2,3,"Porites 2 3","2 3"
-19.6490855820327,"381","Porites",2,3,"Porites 2 3","2 3"
-16.0186485352154,"338","Porites",2,3,"Porites 2 3","2 3"
-15.7013327169826,"383","Porites",2,3,"Porites 2 3","2 3"
8.21137410854212,"354","Porites",2,3,"Porites 2 3","2 3"
7.69711431462914,"367","Porites",2,3,"Porites 2 3","2 3"
-13.9867850075154,"384","Porites",2,3,"Porites 2 3","2 3"
-13.0616534047708,"365","Porites",2,3,"Porites 2 3","2 3"
-13.8127328299357,"341","Porites",2,3,"Porites 2 3","2 3"
-19.6901847534621,"353","Porites",2,3,"Porites 2 3","2 3"
-1.81036354313935,"340","Porites",2,3,"Porites 2 3","2 3"
-11.9320781648499,"385","Porites",2,3,"Porites 2 3","2 3"
-18.2081163360617,"349","Porites",2,3,"Porites 2 3","2 3"
8.17224924210842,"355","Porites",2,3,"Porites 2 3","2 3"
44.9184702424062,"360","Acropora",2,3,"Acropora 2 3","2 3"
81.9744498915422,"40","Pocillopora",2,1,"Pocillopora 2 1","2 1"
-5.81783956747735,"41","Pocillopora",2,1,"Pocillopora 2 1","2 1"
136.169002242644,"42","Pocillopora",2,1,"Pocillopora 2 1","2 1"
-13.3791865750633,"43","Pocillopora",2,1,"Pocillopora 2 1","2 1"
4.96351840826086,"44","Pocillopora",2,1,"Pocillopora 2 1","2 1"
197.5967635019,"45","Pocillopora",2,1,"Pocillopora 2 1","2 1"
-11.3676934213001,"47","Pocillopora",2,1,"Pocillopora 2 1","2 1"
36.8968447882745,"48","Pocillopora",2,1,"Pocillopora 2 1","2 1"
-12.6303232752241,"50","Pocillopora",2,1,"Pocillopora 2 1","2 1"
-18.3627278549233,"52","Pocillopora",2,1,"Pocillopora 2 1","2 1"
23.1059515723563,"53","Pocillopora",2,1,"Pocillopora 2 1","2 1"
27.3303703671782,"55","Pocillopora",2,1,"Pocillopora 2 1","2 1"
-17.1908547841339,"56","Pocillopora",2,1,"Pocillopora 2 1","2 1"
31.5389068185678,"57","Pocillopora",2,1,"Pocillopora 2 1","2 1"
0.989405637930819,"68","Pocillopora",2,1,"Pocillopora 2 1","2 1"
-19.1595579221096,"69","Porites",2,1,"Porites 2 1","2 1"
-16.4174764314841,"70","Porites",2,1,"Porites 2 1","2 1"
-8.21370860653267,"71","Porites",2,1,"Porites 2 1","2 1"
-11.1991668737941,"72","Porites",2,1,"Porites 2 1","2 1"
-11.6821611119827,"73","Porites",2,1,"Porites 2 1","2 1"
13.005864611528,"74","Porites",2,1,"Porites 2 1","2 1"
-0.335731939542453,"75","Porites",2,1,"Porites 2 1","2 1"
-19.1936665918804,"76","Porites",2,1,"Porites 2 1","2 1"
-13.4068544713329,"77","Porites",2,1,"Porites 2 1","2 1"
-18.0003866299717,"78","Porites",2,1,"Porites 2 1","2 1"
-10.2556921659566,"79","Porites",2,1,"Porites 2 1","2 1"
53.8300840453422,"80","Porites",2,1,"Porites 2 1","2 1"
-12.5128207583753,"81","Porites",2,1,"Porites 2 1","2 1"
-4.97308675681601,"82","Porites",2,1,"Porites 2 1","2 1"
54.3805271141945,"83","Porites",2,1,"Porites 2 1","2 1"
-3.52020246151811,"139","Acropora",2,1,"Acropora 2 1","2 1"
-4.52798086260855,"140","Acropora",2,1,"Acropora 2 1","2 1"
-7.86362828590522,"145","Acropora",2,1,"Acropora 2 1","2 1"
-17.4794628054713,"150","Acropora",2,1,"Acropora 2 1","2 1"
13.1570990208694,"173","Acropora",2,1,"Acropora 2 1","2 1"
140.143335188587,"178","Acropora",2,1,"Acropora 2 1","2 1"
-14.1900601056548,"186","Acropora",2,1,"Acropora 2 1","2 1"
-9.98630101437275,"190","Acropora",2,1,"Acropora 2 1","2 1"
-16.8437661350348,"51","Acropora",2,1,"Acropora 2 1","2 1"
