Well,562:562
A1,2.392
B1,0.283
C1,1.895
D1,0.826
E1,1.626
F1,1.504
G1,1.338
H1,0.767
A2,2.121
B2,0.282
C2,1.9
D2,0.79
E2,1.717
F2,1.485
G2,1.325
H2,0.754
A3,1.713
B3,0.118
C3,1.522
D3,1.075
E3,1.112
F3,0.914
G3,1.004
H3,1.287
A4,1.758
B4,0.117
C4,1.542
D4,1.111
E4,1.205
F4,0.881
G4,1.034
H4,1.291
A5,1.266
B5,0.082
C5,0.746
D5,1.117
E5,0.921
F5,1.166
G5,0.677
H5,0.564
A6,1.297
B6,0.084
C6,0.754
D6,1.14
E6,0.946
F6,1.142
G6,0.701
H6,0.573
A7,1.042
B7,1.388
C7,1.276
D7,1.155
E7,0.949
F7,1.817
G7,0.777
H7,1.486
A8,1.059
B8,1.428
C8,1.299
D8,1.337
E8,0.924
F8,1.994
G8,0.878
H8,1.53
A9,0.734
B9,0.692
C9,1.124
D9,0.89
E9,1.14
F9,0.625
G9,2.187
H9,1.161
A10,0.716
B10,0.709
C10,1.124
D10,0.903
E10,1.14
F10,0.633
G10,2.237
H10,1.188
A11,0.449
B11,1.157
C11,1.351
D11,0.65
E11,0.613
F11,0.912
G11,0.962
H11,0.083
A12,0.458
B12,1.206
C12,1.426
D12,0.699
E12,0.672
F12,0.972
G12,1.013
H12,0.083